File,Column,System / File Purpose,Likely Link Target / Use,Example Values,Confidence
World/ItemDropTable.txt,DrItem13R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem14,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem14R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem15,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem15R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem16,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem16R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem17,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem17R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem18,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem18R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem19,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem19R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem20,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem20R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem21,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem21R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem22,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem22R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem23,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem23R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem24,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem24R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem25,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem25R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem26,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem26R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem27,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem27R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem28,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem28R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem29,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem29R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem30,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem30R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem31,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem31R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem32,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem32R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem33,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem33R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem34,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem34R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem35,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem35R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem36,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem36R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem37,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem37R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem38,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem38R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem39,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem39R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem40,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem40R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem41,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem41R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem42,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem42R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem43,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem43R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem44,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem44R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem45,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem45R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,ExcItem1,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,ExcItem2,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,ExcItem3,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,ExcItem4,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,ExcItem5,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemUseFunction.txt,ItemIndex,Item Use Function data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/MiscDataTable.txt,Skill,Misc Data Table data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/MiscDataTable.txt,MobIndex,Misc Data Table data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,,High
World/MiscDataTable.txt,MobRoam,Misc Data Table data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,,High
World/MiscDataTable.txt,AbState,Misc Data Table data/configuration,Links to AbState buff/debuff definitions.,,High
World/MobChat.txt,MobIndex,monster Chat data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,,High
World/NPC.txt,MobName,NPC definitions and behavior,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,,High
World/NPC.txt,Map,NPC definitions and behavior,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",,High
World/NPC.txt,NPCMenu,NPC definitions and behavior,Links to NPC tables or NPC script/action data.,,High
World/NPCAction.txt,ConditionID,NPC interaction/action behavior,Numeric identifier used as a foreign key or lookup key.,,Medium
World/ParamArcherServer.txt,SkillPwrPt,Param Archer Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamAssassinServer.txt,SkillPwrPt,Param Assassin Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamChaserServer.txt,SkillPwrPt,Param Chaser Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamClericServer.txt,SkillPwrPt,Param Cleric Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamCleverFighterServer.txt,SkillPwrPt,Param Clever Fighter Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamCloserServer.txt,SkillPwrPt,Param Closer Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamCruelServer.txt,SkillPwrPt,Param Cruel Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamEnchanterServer.txt,SkillPwrPt,Param Enchanter Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamFighterServer.txt,SkillPwrPt,Param Fighter Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamGladiatorServer.txt,SkillPwrPt,Param Gladiator Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamGuardianServer.txt,SkillPwrPt,Param Guardian Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamHawkArcherServer.txt,SkillPwrPt,Param Hawk Archer Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamHighClericServer.txt,SkillPwrPt,Param High Cleric Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamHolyKnightServer.txt,SkillPwrPt,Param Holy Knight Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamJokerServer.txt,SkillPwrPt,Param Joker Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamKnightServer.txt,SkillPwrPt,Param Knight Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamMageServer.txt,SkillPwrPt,Param Mage Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamPaladinServer.txt,SkillPwrPt,Param Paladin Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamRangerServer.txt,SkillPwrPt,Param Ranger Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamSaviorServer.txt,SkillPwrPt,Param Savior Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamScoutServer.txt,SkillPwrPt,Param Scout Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamSentinelServer.txt,SkillPwrPt,Param Sentinel Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamSharpShooterServer.txt,SkillPwrPt,Param Sharp Shooter Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamWarriorServer.txt,SkillPwrPt,Param Warrior Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamWarrockServer.txt,SkillPwrPt,Param Warrock Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamWizMageServer.txt,SkillPwrPt,Param Wiz Mage Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/ParamWizardServer.txt,SkillPwrPt,Param Wizard Server data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/Quest.txt,QuestHandle,quest data and quest relationships,Links to quest tables; QuestData.shn was skipped by request.,,High
World/Quest.txt,StartNPC,quest data and quest relationships,Links to NPC tables or NPC script/action data.,,High
World/Quest.txt,StopNPC,quest data and quest relationships,Links to NPC tables or NPC script/action data.,,High
World/RandomOptionTable.txt,DropItemIndex,random item option/stat rolls,Links to item tables such as ItemInfo / ItemInfoServer. Links to drop/loot tables or drop group rows.,,High
World/RecallCoord.txt,ItemIndex,Recall Coord data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/RecallCoord.txt,ItemIdent,Recall Coord data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/RecallCoord.txt,MapName,Recall Coord data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",,High
World/TreasureReward.txt,ItemID,Treasure Reward data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,,High
World/TreasureReward.txt,Index,Treasure Reward data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
